coin Full Name,coin Short Name,coin Index,current Price,forecasted Price,forecasted Growth,forecasted Acceleration,propability Of Forecast,data Granularity,forecast Creation Date,forecast Creation Time,forecast For Date,forecast For Time,alghorithm,type Of Similiar Days,by Growth Only Or Growth And Acceleration,past Width,future Width,count Of Actual Values
Dogecoin,DOGE,9,0.07361116050076076,0.07438201621321931,0.01047199510528829,-1000000,1,24,11/7/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,9,4
Ethereum Classic,ETC,30,18.027701273420966,17.704161591515337,-0.017946807360439188,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/8/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,5
Ethereum Classic,ETC,30,18.027701273420966,17.735377259312614,-0.016215268362547164,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/11/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,4,5
yearn.finance,YFI,62,6040.1652283839385,6064.7924018386775,0.004077235062877271,-1000000,0.8333333,24,11/7/2023 12:00 PM,12:00:00,11/8/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,6
ICON Project,ICX,83,0.22861235081707448,0.22991098668969062,0.005680514932700387,-1000000,0.85714287,24,11/7/2023 12:00 PM,12:00:00,11/8/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,7
SuperVerse,_SUPER,113,0.09045843020524025,0.07931600318360153,-0.12317732019401373,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/23/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,16,5
FUN Token,FUN,179,0.004981666488047989,0.005003303783790951,0.004343385048933834,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/8/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,5
Litecoin,LTC,16,72.62575962387562,69.36035232476853,-0.044962108706586124,0.07021997349983877,1,24,11/7/2023 12:00 PM,12:00:00,11/9/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,2,2,2
Monero,XMR,33,165.36541534575133,162.98248142237554,-0.014410110592916081,0.09865225392036003,1,24,11/7/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,2,6,2
XRP,XRP,5,0.6850554554840289,0.6468240666994735,-0.05580772837951187,-0.1971099874743093,1,24,11/7/2023 12:00 PM,12:00:00,11/14/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,2,7,2
StormX,STMX,154,0.008036799685119179,0.007578693186175881,-0.05700110950774617,-1.35202047960753,1,24,11/7/2023 12:00 PM,12:00:00,11/14/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,2,7,2
Theta Network,THETA,28,0.8074476355358066,0.7995847203493001,-0.009737987753582145,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/8/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,5
Mina Protocol,MINA,64,0.6073579513213471,0.6355332496851079,0.04638993908363864,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/9/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,2,5
Chroma,CHR,122,0.12156856856787673,0.1251716602198032,0.029638348911829926,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,10,5
Hedera Hashgraph,HBAR,31,0.057666901378937936,0.056895609842450796,-0.013374943304459319,-1.164013630475465,1,24,11/7/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,3,6,2
Curve DAO Token,CRV,47,0.5673125705838733,0.5800657991429584,0.022480073984540105,-0.8154005501771746,1,24,11/7/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,3,6,2
Bancor Network Token,BNT,77,0.5674337293827405,0.5871026546878289,0.03466294703080908,-1000000,1,24,11/7/2023 12:00 PM,12:00:00,11/9/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,2,4
Celer Network,CELR,104,0.015141223723818058,0.01482071376431586,-0.02116803538131573,-1000000,0.8333333,24,11/7/2023 12:00 PM,12:00:00,11/8/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,1,6
Bitcoin,BTC,0,34668.99067836677,34605.425648275734,-0.00183348372269454,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/8/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,1,5
Bitcoin,BTC,0,34668.99067836677,35963.394111358575,0.03733605760260872,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,8,5
Bitcoin,BTC,0,34668.99067836677,36028.15134799153,0.039203929593279785,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,9,5
PAX Gold,PAXG,123,1947.5245429876327,1933.8670176748217,-0.007012761591111638,-1000000,1,24,11/7/2023 12:00 PM,12:00:00,11/8/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,1,4
Litecoin,LTC,16,72.62575962387562,72.58574619361212,-0.000550953690133249,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/8/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,1,5
Theta Network,THETA,28,0.8074476355358066,0.8196096514672765,0.015062296793276753,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,5,5
Theta Network,THETA,28,0.8074476355358066,0.6334830830170917,-0.21544994977076792,-1000000,0.8,24,11/7/2023 12:00 PM,12:00:00,12/5/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,28,5
Hedera Hashgraph,HBAR,31,0.057666901378937936,0.0654673543847285,0.13526742063931296,1.5271754536603201,1,24,11/7/2023 12:00 PM,12:00:00,11/20/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,5,13,2
Compound Governance Token,COMP,65,51.2473778452645,50.195731438883826,-0.02052097981590395,-1.1266610680095799,1,24,11/7/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,5,14,2
Dent,DENT,120,0.0008224179568676331,0.0007894928063462857,-0.040034571529481644,-1.0916323839755209,1,24,11/7/2023 12:00 PM,12:00:00,12/7/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,5,30,2
PAX Gold,PAXG,123,1947.5245429876327,1965.7135773563284,0.009339566186309822,-1000000,0.8888889,24,11/7/2023 12:00 PM,12:00:00,11/9/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,2,9
