coin Full Name,coin Short Name,coin Index,current Price,forecasted Price,forecasted Growth,forecasted Acceleration,propability Of Forecast,data Granularity,forecast Creation Date,forecast Creation Time,forecast For Date,forecast For Time,alghorithm,type Of Similiar Days,by Growth Only Or Growth And Acceleration,past Width,future Width,count Of Actual Values
Terra,LUNA,6,0.7485337119294809,0.7437757100628916,-0.0063564296313719515,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,1,similiarDays,byGrowth,1,1,4
Convex Finance,CVX,54,3.764386917220676,3.476656904507692,-0.07643476057063248,-0.5596864957908896,1,24,11/11/2023 12:00 PM,12:00:00,11/28/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,1,17,2
Convex Finance,CVX,54,3.764386917220676,3.4564933582307313,-0.0817911563716911,-0.3750153179648137,1,24,11/11/2023 12:00 PM,12:00:00,11/29/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,1,18,2
OMG Network,OMG,82,0.6519890779292309,0.6473375703073109,-0.0071343336558543635,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,5
OMG Network,OMG,82,0.6519890779292309,0.6628817174498454,0.01670678219826982,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,2,5
Marlin,POND,152,0.011210594679314236,0.011188773761123082,-0.0019464550111171208,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/14/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,3,5
Theta Network,THETA,28,1.008411999830824,0.9579269708857084,-0.05006389149830148,-1.2581402811835622,1,24,11/11/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,2,5,2
Monero,XMR,33,170.18520918001283,168.81660490316042,-0.008041852070733047,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,10,4
Waves,WAVES,61,2.197908506980757,2.0965055132037604,-0.04613613053270027,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,4
PAX Gold,PAXG,123,1918.452522881152,1901.1285065126822,-0.009030203334118636,-1000000,0.8125,24,11/11/2023 12:00 PM,12:00:00,11/14/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,3,16
COTI,COTI,172,0.053936869716737154,0.055178677619318786,0.02302335877301176,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/27/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,16,5
Aavegotchi,GHST,167,0.8668869171916695,0.8820418464191666,0.017482014005462565,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,7,5
Aavegotchi,GHST,167,0.8668869171916695,0.8682212138221689,0.0015391818748653474,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,8,5
Steem,STEEM,168,0.2791937114048754,0.26201725561896405,-0.06152164280306005,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,8,5
IOS token,IOST,96,0.009700574935859695,0.009219571184362927,-0.049585076624547475,-1.3233738484326136,1,24,11/11/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,4,8,2
IOS token,IOST,96,0.009700574935859695,0.009970305822806079,0.02780565984282868,-0.8971686129970844,1,24,11/11/2023 12:00 PM,12:00:00,11/29/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,4,18,2
Ocean Protocol,OCEAN,101,0.4159728595614761,0.4132174871255758,-0.006623923586757674,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,1,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.4143839344858043,-0.003819780639888082,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,2,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.41537279654548,-0.0014425532873195701,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/14/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,3,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.4137509713504865,-0.005341425912575137,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,4,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.41379020034772357,-0.0052471192857475035,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,5,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.41539826274471076,-0.0013813324681113404,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,7,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.4164394887347573,0.0011217779298704489,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,10,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.41497849740551684,-0.002390449600504052,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/22/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,11,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.4162578097552354,0.0006850211190694289,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/24/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,13,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.41497992893742625,-0.002387008193507234,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/25/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,14,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.41481570460136136,-0.002781803989170495,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/26/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,15,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.41491091403063535,-0.002552920236094991,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/29/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,18,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.418591583486514,0.006295420157455878,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,12/5/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,24,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.4165989915269806,0.001505223120000121,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,12/6/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,25,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.41722391799192976,0.0030075482130553777,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,12/7/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,26,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.41627154743864686,0.0007180465511273937,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,12/8/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,27,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.41837250887518285,0.005768764135805515,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,12/10/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,29,5
Ocean Protocol,OCEAN,101,0.4159728595614761,0.41807922063591607,0.005063698330368238,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,12/11/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,30,5
XRP,XRP,5,0.6680707151853963,0.6721653565422084,0.006129053801850581,-1000000,0.85714287,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,1,7
Decentraland,MANA,20,0.43397436519290256,0.4325667755736759,-0.0032434856344590868,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,1,5
Stellar,XLM,21,0.12399215809856193,0.12363624654202206,-0.002870436017872624,-1000000,0.85714287,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,1,7
Enjin Coin,ENJ,45,0.29306465968633805,0.3014265599946865,0.028532612281869874,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,1,5
eCash,XEC,50,3.09451956484189E-05,3.1155320823513754E-05,0.006790235792404342,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,1,4
NEO,NEO,56,12.871833625796128,10.531350769450679,-0.18182979398171717,-1.40866702654244,1,24,11/11/2023 12:00 PM,12:00:00,11/24/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,5,13,2
Qtum,QTUM,80,3.16118876371987,3.007920525576185,-0.04848436762230213,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/14/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,3,4
Audius,AUDIO,110,0.19039765860397628,0.20702702577899817,0.08734018735813698,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,7,5
RIF Token,RIF,166,0.11299348730262726,0.11259495508832122,-0.003527037033901448,-1000000,0.85714287,24,11/11/2023 12:00 PM,12:00:00,11/14/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,3,7
VeChain,VET,23,0.02235354625121225,0.022611754063694842,0.011551089459400199,-0.9398220975145063,1,24,11/11/2023 12:00 PM,12:00:00,11/25/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,6,14,2
Arweave,AR,44,7.1547752666339335,6.362050854677987,-0.11079654949510309,-1.2934765718873282,1,24,11/11/2023 12:00 PM,12:00:00,11/23/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,6,12,2
Qtum,QTUM,80,3.16118876371987,2.9444376434206787,-0.06856633263624967,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,4,5
Qtum,QTUM,80,3.16118876371987,2.983523765153725,-0.05620195813839379,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,6,5
Trust Wallet Token,TWT,150,1.3420043347204953,1.5145589598648166,0.12857978225551703,-1.3879122978349199,1,24,11/11/2023 12:00 PM,12:00:00,12/7/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,6,26,2
Hive,HIVE,142,0.37315234965813726,0.3894883243278676,0.04377829775076192,-0.8952994387989286,1,24,11/11/2023 12:00 PM,12:00:00,12/8/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,7,27,2
Maker,MKR,48,1296.463740610226,1309.3227746762227,0.0099185450878434,-1000000,0.8125,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,10,1,16
Ocean Protocol,OCEAN,101,0.4159728595614761,0.4164279999061023,0.0010941587513810802,-0.9986159877666279,1,24,11/11/2023 12:00 PM,12:00:00,12/7/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,11,26,2
WINk,WIN,114,7.416264405410573E-05,7.584209267941897E-05,0.022645479361388388,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,11,1,4
Kyber Network Crystal v2,KNC,170,0.8809504328036712,0.8481906619208548,-0.03718684918350823,-1.1102553598812672,1,24,11/11/2023 12:00 PM,12:00:00,12/7/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,11,26,2
Bitcoin,BTC,0,36989.882484542126,36571.3549800618,-0.011314648124530424,-1000000,0.8181818,24,11/11/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,2,11
PAX Gold,PAXG,123,1918.452522881152,1911.2534142516226,-0.0037525602242778344,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,1,5
PAX Gold,PAXG,123,1918.452522881152,1902.7971438498519,-0.008160420362026244,-1000000,0.8,24,11/11/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,2,5
PAX Gold,PAXG,123,1918.452522881152,1917.8911462426922,-0.00029261951065462366,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/14/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,3,5
PAX Gold,PAXG,123,1918.452522881152,1903.120499756985,-0.00799186997921697,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,4,5
PAX Gold,PAXG,123,1918.452522881152,1895.3289207281507,-0.01205325744432495,-1000000,1,24,11/11/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,5,5
