coin Full Name,coin Short Name,coin Index,current Price,forecasted Price,forecasted Growth,forecasted Acceleration,propability Of Forecast,data Granularity,forecast Creation Date,forecast Creation Time,forecast For Date,forecast For Time,alghorithm,type Of Similiar Days,by Growth Only Or Growth And Acceleration,past Width,future Width,count Of Actual Values
Bitcoin,BTC,0,36902.33283568554,36643.18391430656,-0.007022562029693202,-1000000,0.8,24,11/13/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,3,5
Bitcoin,BTC,0,36902.33283568554,38067.37001184587,0.031570827279345126,-1000000,0.8,24,11/13/2023 12:00 PM,12:00:00,11/29/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,16,5
Bitcoin,BTC,0,36902.33283568554,38197.14752269222,0.03508761066060728,-1000000,0.8,24,11/13/2023 12:00 PM,12:00:00,12/2/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,19,5
MultiversX,EGLD,29,44.06699671282759,43.22325270719558,-0.019146846133637263,-1000000,0.85714287,24,11/13/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,2,7
Waves,WAVES,61,2.1818196668516117,2.185439256599552,0.0016589775053057476,-1000000,1,24,11/13/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,3,4
Waves,WAVES,61,2.1818196668516117,2.2279464927374724,0.021141447474631203,-1000000,1,24,11/13/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,8,4
UMA,UMA,91,1.833462338763856,1.8274473917626388,-0.003280649334347685,-0.9624033080237635,1,24,11/13/2023 12:00 PM,12:00:00,11/29/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,1,16,2
UMA,UMA,91,1.833462338763856,1.836957013199407,0.001906051933364017,-1.02091545781673,1,24,11/13/2023 12:00 PM,12:00:00,12/1/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,1,18,2
Ocean Protocol,OCEAN,101,0.41122935515692843,0.4141234940043307,0.007037772987528612,-2.113281478929116,1,24,11/13/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,2,5,2
Ocean Protocol,OCEAN,101,0.41122935515692843,0.4103729997282181,-0.0020824277692518267,-0.8442825803206346,1,24,11/13/2023 12:00 PM,12:00:00,12/2/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,2,19,2
