coin Full Name,coin Short Name,coin Index,current Price,forecasted Price,forecasted Growth,forecasted Acceleration,propability Of Forecast,data Granularity,forecast Creation Date,forecast Creation Time,forecast For Date,forecast For Time,alghorithm,type Of Similiar Days,by Growth Only Or Growth And Acceleration,past Width,future Width,count Of Actual Values
EOS,EOS,40,0.7429019870385231,0.7703953154883614,0.03700801576724366,-0.8966917561163342,1,24,11/16/2023 12:00 PM,12:00:00,12/6/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,1,20,2
EOS,EOS,40,0.7429019870385231,0.7491530041759865,0.008414322813137476,-0.9729895524587452,1,24,11/16/2023 12:00 PM,12:00:00,12/10/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,1,24,2
PAX Gold,PAXG,123,1943.1916592673406,1948.3550316594649,0.0026571606395588976,-1000000,1,24,11/16/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,17
PAX Gold,PAXG,123,1943.1916592673406,1950.2070483712532,0.003610240436374479,-1000000,0.8235294,24,11/16/2023 12:00 PM,12:00:00,11/20/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,4,17
Bitcoin,BTC,0,37239.01889536511,37482.174220597015,0.006529584625071028,-1000000,0.8,24,11/16/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,5
IOTA,MIOTA,36,0.19209334117100202,0.19445302910745682,0.012284069411621079,-1000000,0.8,24,11/16/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,3,5
IOTA,MIOTA,36,0.19209334117100202,0.18826183012712866,-0.019946089856714755,-1000000,0.8,24,11/16/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,5,5
Worldwide Asset eXchange,WAXP,79,0.06611319950391736,0.0732887686321077,0.10853459191254489,-1000000,1,24,11/16/2023 12:00 PM,12:00:00,11/29/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,13,4
WINk,WIN,114,7.818448889045858E-05,7.827988347866703E-05,0.0012201216579175167,-1000000,0.8,24,11/16/2023 12:00 PM,12:00:00,11/23/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,7,5
PAX Gold,PAXG,123,1943.1916592673406,1940.7914646360887,-0.0012351816249339675,-1000000,1,24,11/16/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,6
PAX Gold,PAXG,123,1943.1916592673406,1933.9580835633383,-0.004751757583955296,-1000000,1,24,11/16/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,2,6
PAX Gold,PAXG,123,1943.1916592673406,1934.102495222293,-0.00467744084928523,-1000000,1,24,11/16/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,3,6
PAX Gold,PAXG,123,1943.1916592673406,1933.3663002436704,-0.00505629950438069,-1000000,0.8333333,24,11/16/2023 12:00 PM,12:00:00,11/20/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,4,6
PAX Gold,PAXG,123,1943.1916592673406,1945.5789143156821,0.0012285226920136783,-1000000,0.8333333,24,11/16/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,5,6
PAX Gold,PAXG,123,1943.1916592673406,1968.692753444232,0.01312330364082892,-1000000,0.8333333,24,11/16/2023 12:00 PM,12:00:00,11/22/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,6,6
PAX Gold,PAXG,123,1943.1916592673406,1958.8971697402494,0.008082327030381808,-1000000,1,24,11/16/2023 12:00 PM,12:00:00,11/23/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,7,6
PAX Gold,PAXG,123,1943.1916592673406,1958.3673305526916,0.00780966263053684,-1000000,1,24,11/16/2023 12:00 PM,12:00:00,11/24/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,8,5
PAX Gold,PAXG,123,1943.1916592673406,1964.1736304130366,0.010797684852973832,-1000000,0.8,24,11/16/2023 12:00 PM,12:00:00,11/25/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,9,5
PAX Gold,PAXG,123,1943.1916592673406,1950.4599702651028,0.003740398412631407,-1000000,0.8,24,11/16/2023 12:00 PM,12:00:00,11/26/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,10,5
PAX Gold,PAXG,123,1943.1916592673406,1949.084794198002,0.0030327090498543097,-1000000,0.8,24,11/16/2023 12:00 PM,12:00:00,11/27/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,11,5
PAX Gold,PAXG,123,1943.1916592673406,1948.5911160423607,0.0027786537417806567,-1000000,0.8,24,11/16/2023 12:00 PM,12:00:00,11/28/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,12,5
