coin Full Name,coin Short Name,coin Index,current Price,forecasted Price,forecasted Growth,forecasted Acceleration,propability Of Forecast,data Granularity,forecast Creation Date,forecast Creation Time,forecast For Date,forecast For Time,alghorithm,type Of Similiar Days,by Growth Only Or Growth And Acceleration,past Width,future Width,count Of Actual Values
Waves,WAVES,61,2.1654056009206593,2.1767708556730523,0.005248557012857535,-1000000,0.875,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,8
Raydium,RAY,106,0.34289015730743294,0.3423547085845695,-0.001561575074268906,-0.9911819169519716,1,24,11/14/2023 12:00 PM,12:00:00,11/23/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,1,9,2
WINk,WIN,114,7.721865816128733E-05,8.003539746610978E-05,0.03647744433656297,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,2,7
Decred,DCR,75,14.839671649209803,14.517057318750963,-0.021739991159172245,-1000000,0.8181818,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,11
NEM,XEM,87,0.035719882722190975,0.03582373953071021,0.0029075349806431117,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,4
SuperVerse,_SUPER,113,0.11013372954471386,0.10980446266250621,-0.002989700644560167,-1.0099713097022618,1,24,11/14/2023 12:00 PM,12:00:00,12/9/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,2,25,2
PAX Gold,PAXG,123,1929.9801833119986,1916.5052583275808,-0.0069818981049296625,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,4
Lisk,LSK,134,1.1087884997053044,1.089947627685249,-0.016992304686658244,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,5,5
Fantom,FTM,19,0.3020965160633426,0.30697688387903366,0.016154995361375768,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,2,5
PAX Gold,PAXG,123,1929.9801833119986,1916.6946008938335,-0.006883792140998102,-1000000,0.9,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,1,10
PAX Gold,PAXG,123,1929.9801833119986,1915.889950259755,-0.007300713848814588,-1000000,0.9,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,2,10
PAX Gold,PAXG,123,1929.9801833119986,1919.1400703892546,-0.00561669649070784,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,3,10
Dogecoin,DOGE,9,0.07339677514214728,0.07330138765722513,-0.0012996141143450934,-1000000,0.9,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,1,10
Tezos,XTZ,32,0.8607186631911028,0.8597137178412317,-0.0011675654227657484,-1000000,0.875,24,11/14/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,3,8
PAX Gold,PAXG,123,1929.9801833119986,1912.475034374858,-0.009070118485413836,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,1,13
Ethereum,ETH,1,2034.9820022412557,2149.5436747401595,0.05629616005091442,-0.4742392019661177,1,24,11/14/2023 12:00 PM,12:00:00,11/26/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,5,12,2
Maker,MKR,48,1370.6363357707332,1373.2033033229832,0.0018728290541096815,-1000000,0.8333333,24,11/14/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,3,6
Theta Fuel,TFUEL,72,0.04412375579826585,0.044680178969134704,0.0126105124281084,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,1,5
PlayDapp,__PLA,116,0.21114319421223854,0.20792293055359376,-0.015251562668924135,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,1,7
PAX Gold,PAXG,123,1929.9801833119986,1957.4368693926428,0.014226408290641812,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,1,21
PAX Gold,PAXG,123,1929.9801833119986,1944.9501326141883,0.007756530057474453,-1000000,0.95238096,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,2,21
PAX Gold,PAXG,123,1929.9801833119986,1940.342643260273,0.005369205361731577,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,5,3,21
My Neighbor Alice,ALICE,173,0.9493903464173922,0.948258284715852,-0.001192409113713877,-1.0714596115514874,1,24,11/14/2023 12:00 PM,12:00:00,11/23/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,5,9,2
MOBOX,MBOX,174,0.2656741513127876,0.26575152099363475,0.00029122020514549263,-1.0124037568471531,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,5,1,2
PAX Gold,PAXG,123,1929.9801833119986,1931.8550536283617,0.0009714453716025417,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,1,10
PAX Gold,PAXG,123,1929.9801833119986,1933.4954997979014,0.0018214262075324505,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,2,10
PAX Gold,PAXG,123,1929.9801833119986,1927.6679981602863,-0.0011980356957574934,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,3,10
PAX Gold,PAXG,123,1929.9801833119986,1921.411296908275,-0.004439883102332565,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,4,10
PAX Gold,PAXG,123,1929.9801833119986,1913.1341758248195,-0.008728590911368905,-1000000,0.9,24,11/14/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,5,10
PAX Gold,PAXG,123,1929.9801833119986,1914.0767328027703,-0.008240214405692448,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/20/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,6,10
PAX Gold,PAXG,123,1929.9801833119986,1901.6413305708024,-0.014683494155139143,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/25/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,11,10
PAX Gold,PAXG,123,1929.9801833119986,1913.1818528349324,-0.008703887543673572,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/27/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,13,10
PAX Gold,PAXG,123,1929.9801833119986,1920.7597426806449,-0.004777479432732212,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/28/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,14,10
JUST,JST,171,0.033272896246814954,0.03308870514490311,-0.005535770031725895,-1000000,0.8333333,24,11/14/2023 12:00 PM,12:00:00,11/20/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,6,6,6
Dash,DASH,63,31.3801592847539,32.00244151194544,0.019830435580162176,-1.3010202913380255,1,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,7,2,2
Compound Governance Token,COMP,65,51.64048794256759,49.894820125656295,-0.033804247141366206,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,7,1,5
Ontology,ONT,99,0.22185889910515522,0.2134954681151633,-0.037697072435340484,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,7,2,5
Dent,DENT,120,0.000808568219862335,0.0008157002526552385,0.008820570259510996,-1000000,0.8333333,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,7,2,6
PAX Gold,PAXG,123,1929.9801833119986,1947.0990587803578,0.008869974736726016,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,7,1,10
PAX Gold,PAXG,123,1929.9801833119986,1947.1949614925488,0.008919665771390584,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,7,2,10
PAX Gold,PAXG,123,1929.9801833119986,1951.940960440772,0.011378757833195419,-1000000,0.9,24,11/14/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,7,3,10
PAX Gold,PAXG,123,1929.9801833119986,1964.1001171980233,0.017678903742665453,-1000000,0.9,24,11/14/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,7,4,10
Numeraire,NMR,158,14.205183855436767,14.356071790473067,0.010622033236025397,-1.2012729431877351,1,24,11/14/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,7,4,2
COTI,COTI,172,0.050038161695851,0.050065513663651695,0.0005466221554450978,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,7,1,4
Verge,XVG,135,0.003760263773685423,0.003916430892220814,0.04153089462187709,-1.4738171211884272,1,24,11/14/2023 12:00 PM,12:00:00,11/28/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,8,14,2
Ethereum,ETH,1,2034.9820022412557,2312.48265087043,0.1363651611284744,0.2545733020147556,1,24,11/14/2023 12:00 PM,12:00:00,11/28/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,9,14,2
Axie Infinity Shards,AXS,24,6.074192305535501,6.212485206402364,0.02276729051545412,-0.880419629096296,1,24,11/14/2023 12:00 PM,12:00:00,12/4/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,9,20,2
The Graph,GRT,37,0.12358879492728589,0.12326918106994474,-0.002586107078147326,-1.1387690941343878,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,9,1,2
EOS,EOS,40,0.7026321216079788,0.699640527138414,-0.0042576967058075565,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,9,1,5
EOS,EOS,40,0.7026321216079788,0.6673269509751848,-0.05024702052049357,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,9,2,5
Perpetual Protocol,PERP,100,0.6393615634774373,0.5644266686548529,-0.11720268953144353,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,12/2/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,9,18,5
Hive,HIVE,142,0.3674315897159257,0.3683943119250944,0.0026201400100438477,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,9,1,7
Near,NEAR,15,1.5432963642723942,1.4835942624906215,-0.03868479390212265,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,10,3,5
Trust Wallet Token,TWT,150,1.2081168990384064,1.1711027079637697,-0.03063792179721836,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,10,4,5
Enzyme,MLN,180,16.26754060623487,16.104503281591317,-0.010022247897821024,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,10,1,5
TRON,TRX,25,0.106863563770397,0.10544984106428283,-0.013229230396542335,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,12,1,4
EOS,EOS,40,0.7026321216079788,0.6920279516711398,-0.01509206540767205,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,12,4,5
Maker,MKR,48,1370.6363357707332,1351.751150386054,-0.013778407074010568,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,12,1,4
Ardor,ARDR,147,0.1038090550743041,0.10431673232286992,0.00489049099042882,-0.964870638424306,1,24,11/14/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,12,5,2
PAX Gold,PAXG,123,1929.9801833119986,1924.6860351543944,-0.002743110112415237,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,1,4
PAX Gold,PAXG,123,1929.9801833119986,1919.7507720390674,-0.005300267516413992,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,2,4
PAX Gold,PAXG,123,1929.9801833119986,1922.6222938756162,-0.003812417091120457,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,3,4
PAX Gold,PAXG,123,1929.9801833119986,1910.5476319779284,-0.010068782831087142,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,4,4
PAX Gold,PAXG,123,1929.9801833119986,1945.4492531012284,0.00801514436416828,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,5,4
PAX Gold,PAXG,123,1929.9801833119986,1917.038071939945,-0.006705826041096374,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/23/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,9,4
PAX Gold,PAXG,123,1929.9801833119986,1897.8105049511373,-0.016668398276326157,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/24/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,13,10,4
Ardor,ARDR,147,0.1038090550743041,0.10182381340124019,-0.01912397402753474,-1.0661262000379763,1,24,11/14/2023 12:00 PM,12:00:00,12/6/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,13,22,2
Dogecoin,DOGE,9,0.07339677514214728,0.07449905540423558,0.015018102089002117,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,2,5
Dogecoin,DOGE,9,0.07339677514214728,0.07425232241906336,0.01165646958274591,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/24/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,10,5
Dogecoin,DOGE,9,0.07339677514214728,0.07334061511972893,-0.0007651565386841419,-1000000,0.8,24,11/14/2023 12:00 PM,12:00:00,11/25/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,11,5
EOS,EOS,40,0.7026321216079788,0.6913089071638707,-0.016115423841134513,-1.1328137114161547,1,24,11/14/2023 12:00 PM,12:00:00,11/25/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,14,11,2
PAX Gold,PAXG,123,1929.9801833119986,1924.5235667795962,-0.0028272914818423533,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,1,7
PAX Gold,PAXG,123,1929.9801833119986,1917.3016761922136,-0.006569242124563002,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,2,7
PAX Gold,PAXG,123,1929.9801833119986,1908.8186454780482,-0.010964639956890898,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,3,7
PAX Gold,PAXG,123,1929.9801833119986,1923.9604136352418,-0.0031190836718471004,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,4,7
PAX Gold,PAXG,123,1929.9801833119986,1897.475738721536,-0.016841854062295325,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,7,7
PAX Gold,PAXG,123,1929.9801833119986,1899.3840900036594,-0.01585306086191718,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/22/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,8,7
PAX Gold,PAXG,123,1929.9801833119986,1903.2371525328322,-0.01385663490765654,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/25/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,11,7
PAX Gold,PAXG,123,1929.9801833119986,1924.7814998873653,-0.0026936460123191397,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,12/5/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,21,7
PAX Gold,PAXG,123,1929.9801833119986,1870.7120434469798,-0.030709196072319256,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,12/11/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,27,7
PAX Gold,PAXG,123,1929.9801833119986,1876.2584569860305,-0.027835377166296804,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,12/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,28,7
Verge,XVG,135,0.003760263773685423,0.0037236233436121874,-0.009744111657710719,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/22/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,14,8,4
FUN Token,FUN,179,0.004959397396539201,0.004890529184521877,-0.013886407260967126,-1.843701236395259,1,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,14,2,2
VeChain,VET,23,0.02094133978931518,0.025287360919254064,0.20753309834341827,-0.27336955698977006,1,24,11/14/2023 12:00 PM,12:00:00,12/3/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,15,19,2
PAX Gold,PAXG,123,1929.9801833119986,1942.1714080904846,0.006316761635119406,-1000000,1,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,15,1,4
Marlin,POND,152,0.01036970516737826,0.01031431652168934,-0.005341390598371687,-1.0320061816288093,1,24,11/14/2023 12:00 PM,12:00:00,12/11/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,15,27,2
Litecoin,LTC,16,70.70269267452372,70.84672221348377,0.002037115327744088,-1000000,0.8333333,24,11/14/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,16,2,6
Bitcoin Cash,BCH,18,234.66679270621844,234.05092995152265,-0.00262441373827782,-1000000,0.85714287,24,11/14/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,16,1,7
