coin Full Name,coin Short Name,coin Index,current Price,forecasted Price,forecasted Growth,forecasted Acceleration,propability Of Forecast,data Granularity,forecast Creation Date,forecast Creation Time,forecast For Date,forecast For Time,alghorithm,type Of Similiar Days,by Growth Only Or Growth And Acceleration,past Width,future Width,count Of Actual Values
Shiba Inu,SHIB,10,8.593330150528216E-06,8.444596810472774E-06,-0.017307997883253545,-1000000,1,24,11/15/2023 12:00 PM,12:00:00,11/20/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,5,6
Chainlink,LINK,12,15.144219491970418,14.629907806194012,-0.03396092390559302,-1.7012630918144689,1,24,11/15/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,1,1,2
Amp,AMP,53,0.002037028397098814,0.00201663909039664,-0.010009338471281493,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,5
PAX Gold,PAXG,123,1952.9087066168745,1950.0542538270531,-0.0014616416938231236,-1000000,1,24,11/15/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,4
PAX Gold,PAXG,123,1952.9087066168745,1958.074469447227,0.0026451635003981178,-1000000,1,24,11/15/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,2,4
PAX Gold,PAXG,123,1952.9087066168745,1967.4293264399403,0.007435380759923227,-1000000,1,24,11/15/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,3,4
PAX Gold,PAXG,123,1952.9087066168745,1962.3368483856027,0.004827743220552794,-1000000,1,24,11/15/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,4,4
PAX Gold,PAXG,123,1952.9087066168745,1956.5859150197161,0.0018829392231098918,-1000000,1,24,11/15/2023 12:00 PM,12:00:00,11/20/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,5,4
PAX Gold,PAXG,123,1952.9087066168745,1958.5267521825888,0.0028767579081803163,-1000000,1,24,11/15/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,6,4
PAX Gold,PAXG,123,1952.9087066168745,1956.8926173116533,0.002039988188531572,-1000000,1,24,11/15/2023 12:00 PM,12:00:00,11/22/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,7,4
PAX Gold,PAXG,123,1952.9087066168745,1957.9964875460905,0.002605232344951691,-1000000,1,24,11/15/2023 12:00 PM,12:00:00,11/24/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,9,4
Lisk,LSK,134,1.1279378590276175,1.0393264121069052,-0.07856057513407977,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,11/30/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,15,5
XRP,XRP,5,0.641348327982904,0.6407718058902879,-0.0008989219546720051,-1000000,0.8888889,24,11/15/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,9
Dogecoin,DOGE,9,0.07464486904043348,0.07511591462144802,0.006310488410923298,-1000000,1,24,11/15/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,4
Ocean Protocol,OCEAN,101,0.4168046597617176,0.41557110285843907,-0.002959556411830322,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,4,5
Ocean Protocol,OCEAN,101,0.4168046597617176,0.42262071216830505,0.013953904473890555,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,12/1/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,16,5
Ocean Protocol,OCEAN,101,0.4168046597617176,0.4236390516337672,0.016397110041804108,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,12/4/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,19,5
Ocean Protocol,OCEAN,101,0.4168046597617176,0.4249952774558359,0.019650974388819797,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,12/6/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,21,5
Ocean Protocol,OCEAN,101,0.4168046597617176,0.4198643832815834,0.00734090526150788,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,12/10/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,25,5
Ocean Protocol,OCEAN,101,0.4168046597617176,0.4156865015090784,-0.002682691343418475,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,12/11/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,26,5
Ocean Protocol,OCEAN,101,0.4168046597617176,0.41807740433070495,0.003053575671910558,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,12/13/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,28,5
Ocean Protocol,OCEAN,101,0.4168046597617176,0.41656837498930543,-0.0005668957073254877,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,12/14/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,29,5
SuperVerse,_SUPER,113,0.11892314127445933,0.12041249206561248,0.012523641531768215,-1000000,1,24,11/15/2023 12:00 PM,12:00:00,11/17/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,2,4
Orion Protocol,ORN,175,0.7062308229190293,0.6809972658483598,-0.03572990055343772,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,11/20/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,5,5
Orion Protocol,ORN,175,0.7062308229190293,0.6989938613718031,-0.010247303448628897,-1000000,0.8,24,11/15/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,6,5
