coin Full Name,coin Short Name,coin Index,current Price,forecasted Price,forecasted Growth,forecasted Acceleration,propability Of Forecast,data Granularity,forecast Creation Date,forecast Creation Time,forecast For Date,forecast For Time,alghorithm,type Of Similiar Days,by Growth Only Or Growth And Acceleration,past Width,future Width,count Of Actual Values
Ethereum,ETH,1,1967.3907427554311,1969.6060127878281,0.0011259939290424459,-1000000,0.8333333,24,11/17/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,6
Cosmos,ATOM,17,9.538341404955828,9.535623388657344,-0.00028495691054553074,-1000000,0.8888889,24,11/17/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,9
Theta Fuel,TFUEL,72,0.044423697477334614,0.04425297828226,-0.003842975816268357,-1000000,1,24,11/17/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,4
PAX Gold,PAXG,123,1969.827117911973,1969.9742079675275,7.467155580154206E-05,-1000000,0.9375,24,11/17/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,16
PAX Gold,PAXG,123,1969.827117911973,1969.2243588134602,-0.0003059959389489775,-1000000,0.9375,24,11/17/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,2,16
PAX Gold,PAXG,123,1969.827117911973,1981.6634796941557,0.006008832792762764,-1000000,0.875,24,11/17/2023 12:00 PM,12:00:00,11/20/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,3,16
Arweave,AR,44,7.191243505110355,7.277524396884957,0.011998048976270548,-1000000,0.8,24,11/17/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,1,5
Loopring,LRC,46,0.22640107585699135,0.22553200150549377,-0.0038386493889567275,-1000000,0.8,24,11/17/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,1,10
Flux,_FLUX,94,0.400451794331451,0.40207346344007977,0.004049598807107646,-1000000,0.8333333,24,11/17/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,2,6
Aavegotchi,GHST,167,0.821167444686118,0.8251424850030628,0.004840718348818829,-1000000,1,24,11/17/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,3,1,7
Axie Infinity Shards,AXS,24,6.412370834177952,6.306277747622522,-0.01654506411107004,-1000000,0.85714287,24,11/17/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,4,1,7
Lisk,LSK,134,1.1067306123921123,1.1470265827521062,0.0364099175615078,-2.3303218689569025,1,24,11/17/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,4,4,2
VeChain,VET,23,0.02083718697335582,0.02031661400559642,-0.024982881250960043,0.3377999813507928,1,24,11/17/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,5,1,2
Syscoin,SYS,90,0.09773773218486276,0.09687537165637247,-0.00882320992325869,-0.4058925831457926,1,24,11/17/2023 12:00 PM,12:00:00,11/18/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,5,1,2
