coin Full Name,coin Short Name,coin Index,current Price,forecasted Price,forecasted Growth,forecasted Acceleration,propability Of Forecast,data Granularity,forecast Creation Date,forecast Creation Time,forecast For Date,forecast For Time,alghorithm,type Of Similiar Days,by Growth Only Or Growth And Acceleration,past Width,future Width,count Of Actual Values
Enjin Coin,ENJ,45,0.26418504010701516,0.2522578773462214,-0.04514700285815709,-1000000,0.8,24,11/18/2023 12:00 PM,12:00:00,11/26/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,8,5
Amp,AMP,53,0.0021253027545128406,0.0021639916127173895,0.018203927945041,-1000000,1,24,11/18/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,3,4
Fetch.ai,FET,107,0.42922943132554475,0.4377069726986324,0.019750605979900637,-1000000,1,24,11/18/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,3,4
PAX Gold,PAXG,123,1960.3182325738428,1958.6826029464153,-0.0008343694407616509,-1000000,1,24,11/18/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,15
PAX Gold,PAXG,123,1960.3182325738428,1959.203498683857,-0.0005686494526565555,-1000000,0.93333334,24,11/18/2023 12:00 PM,12:00:00,11/20/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,2,15
PAX Gold,PAXG,123,1960.3182325738428,1959.7874828999572,-0.00027074669054560907,-1000000,0.93333334,24,11/18/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,3,15
PAX Gold,PAXG,123,1960.3182325738428,1952.4187271551143,-0.004029705630170355,-1000000,0.8,24,11/18/2023 12:00 PM,12:00:00,11/22/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,4,15
Power Ledger,POWR,132,0.25345865256192207,0.25259811863873965,-0.0033951649094803305,-1000000,0.8,24,11/18/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,5
Verge,XVG,135,0.003435687660780068,0.003308737028258189,-0.036950574399145175,-0.8418099028845021,1,24,11/18/2023 12:00 PM,12:00:00,11/22/2023 12:00 PM,12:00:00,2,similiarDays,byGrowthAndAcceleration,1,4,2
Bitcoin,BTC,0,36480.75686339533,36379.76149824255,-0.0027684558610162613,-1000000,0.875,24,11/18/2023 12:00 PM,12:00:00,11/19/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,2,1,8
