coin Full Name,coin Short Name,coin Index,current Price,forecasted Price,forecasted Growth,forecasted Acceleration,propability Of Forecast,data Granularity,forecast Creation Date,forecast Creation Time,forecast For Date,forecast For Time,alghorithm,type Of Similiar Days,by Growth Only Or Growth And Acceleration,past Width,future Width,count Of Actual Values
Perpetual Protocol,PERP,100,0.6940674898380138,0.7029178582741956,0.0127514522229637,-1000000,0.8333333,24,11/12/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,6
PAX Gold,PAXG,123,1918.595776715767,1912.291065954565,-0.0032861068692615625,-1000000,0.95652175,24,11/12/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,23
PAX Gold,PAXG,123,1918.595776715767,1905.9863696640969,-0.006572206196166497,-1000000,0.9130435,24,11/12/2023 12:00 PM,12:00:00,11/14/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,2,23
PAX Gold,PAXG,123,1918.595776715767,1900.6773856836596,-0.009339325797318221,-1000000,0.8695652,24,11/12/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,3,23
MovieBloc,MBL,141,0.004400772689979841,0.0043355196501769465,-0.014827632418159209,-1000000,1,24,11/12/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,4
JUST,JST,171,0.03312933784725883,0.031343507759710565,-0.05390479265784731,-1000000,0.8,24,11/12/2023 12:00 PM,12:00:00,11/14/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,2,5
JUST,JST,171,0.03312933784725883,0.031596748057770074,-0.04626080353777928,-1000000,1,24,11/12/2023 12:00 PM,12:00:00,11/15/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,3,5
JUST,JST,171,0.03312933784725883,0.03164597648379759,-0.04477485696515282,-1000000,0.8,24,11/12/2023 12:00 PM,12:00:00,11/16/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,4,5
JUST,JST,171,0.03312933784725883,0.028980973888750452,-0.1252172312538875,-1000000,0.8,24,11/12/2023 12:00 PM,12:00:00,11/30/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,18,5
Holo,_HOT,67,0.0017040929928521932,0.0017339589365479213,0.017526005811302925,-1000000,0.8,24,11/12/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,1,similiarDays,byGrowth,2,1,5
